	NPK1	NPK2	NPK3	NPK4	NPK5	NPK6	NPKM1	NPKM2	NPKM3	NPKM4	NPKM5	NPKM6	genus	group
F37	0.000351096	0.001490213	0.001616937	0.000631265	0.001037687	0.000127237	0	0.001328969	0.0010858	0.00340458	0.000219827	0.001126404	Arthrophiala	F
F39	0.001755485	0.000677369	0.002194415	0.000126291	0	0.000127237	0.004740873	0.007214393	0.00825208	0.000945716	0.000439654	0.000375562	Arxiella	F
F41	0.000117068	0.000271029	0.00103953	0.001010064	0.000849016	0.00089039	0.032198436	0.028667722	0.06275924	0.051446944	0.045929992	0.098555417	Ascodesmis	F
F43	0.019076273	0.04159046	0.037998038	0.031815773	0.062827218	0.041085209	0.044248155	0.026959051	0.196746976	0.037072064	0.051643773	0.045804804	Aspergillus	F
F52	0.001053291	0.000135515	0.00080847	0.001136277	0.000849016	0.000254474	0.000790145	0.00322749	0.003257401	0.004161148	0.001538457	0.003566767	Bipolaris	F
F56	0.002574747	0.002303056	0.005312797	0.003408832	0.00311306	0.00814072	0.181535957	0.067587478	0.095767563	0.173066012	0.058676114	0.109067997	Botryotrichum	F
F68	0.000468129	0.001219264	0.00115499	0.000757519	0.001037687	0.001780861	0.065977162	0.041767543	0.093161646	0.091167012	0.027250333	0.077154814	Cephaliophora	F
F71	0.000351203	0.000812924	0.000346486	0.000505012	0.000283005	0.000127237	0.002370439	0.002468141	0.003908879	0.001513144	0.00307665	0.00732126	Ceramothyrium	F
F72	0.001170324	0.001625687	0.001963423	0.000252582	0.000188727	0.000636032	0.013234938	0.004746312	0.00738344	0.005296008	0.005933542	0.00732126	Ceratobasidium	F
F78	0.116447183	0.117726738	0.139518631	0.11665784	0.050940986	0.154546531	0.117929233	0.112392662	0.16829901	0.100813316	0.114275584	0.150179685	Chaetomium	F
F80	0.003745036	0.00541895	0.000346591	0.004797616	0.005565775	0.00089039	0.000197596	0.000569729	0.008034923	0.001324	0.001098869	0.005068566	Chloridium	F
F84	0.020246596	0.021269388	0.018825774	0.026891904	0.004528087	0.019715812	0.113583439	0.108975319	0.081652165	0.137696236	0.103727069	0.081660204	Chrysosporium	F
F86	0.000234135	0.000677369	0.001270452	0.000757556	0.00386774	0.000508832	0.00158029	0.002847787	0.001302961	0.003026292	0.002417369	0.003003591	Cistella	F
F87	0.00994775	0.021946757	0.068142377	0.018559202	0.032828637	0.055458673	0.009679284	0.001898581	0.001737278	0.002648008	0.001098869	0.001501911	Cladophialophora	F
F88	0.007138974	0.002574002	0.001847964	0.003030111	0.001037715	0.001399225	0.015605373	0.048981936	0.049512482	0.034045772	0.03560124	0.037732647	Cladorrhinum	F
F89	0.109893406	0.002574002	0.011549557	0.001767543	0.016508655	0.002416855	0.005728556	0.009872387	0.006731957	0.006620012	0.004175453	0.010137129	Cladosporium	F
F91	0.010298846	0.00785748	0.011203068	0.009595232	0.005377106	0.009412711	0.002370435	0.000379819	0.000651676	0.001134972	0.000439654	0.000563172	Claussenomyces	F
F93	0.000819227	0.000271029	0.002078919	0.000252582	0.007358198	0.000127237	0.002370435	0.001139116	0.003908879	0.000567428	0.00065928	0.000563172	Clitocybe	F
F94	0.009479619	0.001083872	0.000577546	0.001010024	0.007924154	0.001399187	0.000790203	0	0.000434451	0.0003784	0.001538323	0.000187781	Clitopilus	F
F95	0.000234135	0.000135515	0.000692974	0.001010064	0.000660347	0.001653583	0.004148383	0.004936161	0.001954504	0.006241724	0.006153304	0.006194911	Clonostachys	F
F96	0	0.000135515	0.000577512	0.000126291	0.000188727	0	0.000395192	0.002468085	0.004560362	0.000945828	0.001538457	0.003566767	Codinaea	F
F100	0.02399163	0.099979667	0.020673706	0.018180444	0.012074901	0.008522318	0.03891467	0.04214725	0.072748603	0.027614904	0.072081521	0.049183846	Coniochaeta	F
F101	0.018725174	0.023030549	0.015245413	0.019442972	0.01537663	0.010048705	0.004543336	0.001898581	0.004126044	0.003026292	0.00307665	0.003754604	Coniosporium	F
F103	0.032300928	0.018424437	0.028642897	0.038759693	0.011886232	0.026075752	0.008296532	0.011011443	0.016938481	0.012105164	0.012086842	0.014267068	Conlarium	F
F104	0.000117068	0	0.00011553	0.000126291	0.000188727	0.000254474	0.005135948	0.003986959	0.002823079	0.000945772	0.009010187	0.009386231	Conocybe	F
F106	0.001755485	0.001896636	0.004042345	0.003913884	0.004622423	0.012465482	0.25363675	0.213394175	0.406306388	0.423491584	0.476001751	0.462553434	Coprinopsis	F
F111	0.001872518	0.001083872	0.001154956	0.001388782	0.00037734	0.000890468	0.006716238	0.002657934	0.008686401	0.003782864	0.005054496	0.005819464	Corynascella	F
F112	0.000117068	0	0.00011553	0.000126291	9.43635E-05	0	0	0.001898525	0.0010858	0.000945716	0.001098804	0.00319132	Corynespora	F
F114	0.000351096	0.000541895	0	0.000126291	0.000188727	0	0.000197596	0.001139116	0.003908879	0.001702344	0.002637196	0.000751124	Crinipellis	F
F120	0.075251796	0.048635097	0.055322371	0.054288822	0.179425478	0.058129846	0.042865399	0.029427135	0.090338567	0.06298468	0.045710231	0.128028181	Curvularia	F
F125	0.000351096	0.000812884	0.00103946	0.000378873	0.000471732	0.000508795	0.003753191	0.002278231	0.010858002	0.002080576	0.002417369	0.005444013	Dactylella	F
F134	0	0	0	0.000378758	0.000188727	0.000381595	0.000790145	0.003417343	0.004343329	0.002080632	0.023954052	0.003942329	Diaporthe	F
F135	0.000585162	0.000271029	0.00011553	0.000126291	0.000188727	0.001780783	0.003358179	0.003986903	0.00521184	0.004917836	0.006812584	0.004693116	Dichotomopilus	F
F139	0.001989549	0.002303053	0.003118381	0.004166351	0.001226356	0.007886324	0.001777827	0.000949262	0.001085929	0.0001892	0.000879107	0.000938734	Diversispora	F
F141	0.003159875	0.011921695	0.000692971	0.01186779	0.003584738	0.000763193	0.000790383	0.000759409	0.002605987	0.0001892	0.000439654	0.000375562	Echria	F
F143	0.001053291	0.0227596	0.001732433	0.014771609	0.000849044	0.002798372	0.017185667	0.010252029	0.027796478	0.0332892	0.025492244	0.047306599	Elaphomyces	F
F144	0.001404459	0.00392874	0.001732468	0.002777566	0.003018754	0.01780783	0.073878615	0.047083415	0.032356845	0.073576696	0.1494373	0.043927558	Emericellopsis	F
F147	0.002223614	0.001354738	0.001732502	0	0.00037734	0.000254474	0.004938411	0.005126015	0.008034923	0.000945828	0.00065928	0.001126404	Entoloma	F
F148	0	0.000135515	0.00011553	0.000252582	0.000188727	0.000381595	0.001975481	0.000949262	0.000651478	0.004161148	0.001538323	0.006945809	Entophlyctis	F
F149	0.002106581	0.004335163	0.002309911	0.006565162	0.00386777	0.005342348	0.018963494	0.023351854	0.02301896	0.029884624	0.033843151	0.042238037	Entorrhiza	F
F153	0	0	0.000461982	0.000252582	9.43635E-05	0.000508795	0.001777827	0.003037641	0.001737278	0.002458976	0.002417365	0.002815869	Exophiala	F
F158	0	0.000271029	0.00011553	0	0	0.000127237	0.000592608	0.000379819	0.000434451	0.0003784	0.000219827	0.005444125	Funneliformis	F
F159	0.000117068	0.000135515	0	0	0	0.000127237	0.000592787	0.00018991	0.008686401	0.000567428	0.00065948	0.001689521	Fusariella	F
F160	0.048802486	0.036306979	0.040538939	0.025376865	0.091599441	0.029510118	0.266476617	0.217191224	0.286651221	0.333459432	0.35271598	0.323449497	Fusarium	F
F161	0.000936258	0.002980422	0.001963494	0.00378759	0.001981067	0.002671251	0.027852633	0.022592445	0.022367482	0.04180064	0.060653965	0.029848215	Fusicolla	F
F163	0.000117068	0	0.00011553	0.000126291	0	0.000254474	0.001382815	0.001329025	0.000868704	0.002080632	0.001977911	0.002064972	Gaeumannomyces	F
F166	0.002457677	0.018424437	0.00184793	0.007448932	0.007169501	0.009031115	0.005135948	0.002468081	0.0021716	0.013240024	0.004834738	0.001501795	Gelasinospora	F
F170	0.002691743	0.003386845	0.001385945	0.00492387	0.001981067	0.002035181	0.00158029	0.001518818	0.003257401	0.004350296	0.003296541	0.00450539	Geopora	F
F171	0.002925844	0.001083872	0.001270449	0.002777566	0.000943352	0.003561565	0.00276563	0.002468141	0.009120719	0.005863436	0.006153299	0.006382636	Gibberella	F
F173	0.000117068	0.001761158	0.000693008	0	0	0	0.004543336	0.001898525	0.003257401	0.001324	0.001538323	0.00131413	Gigaspora	F
F174	0.001404387	0.002709476	0.000577512	0.000126291	9.43635E-05	0.000254474	0.000395192	0.000759465	0.00304024	0.0005676	0.00065928	0.000563172	Glomus	F
F175	0	0.000271029	0.00011553	0.000378758	0	0.000127237	0.001185278	0.005505721	0.001085864	0.000945828	0.005933538	0.001314185	Gymnoascus	F
F176	0.001287356	0.002438528	0.000923964	0.007070171	0.000754738	0.002162381	0.00158029	0.001518818	0.0021716	0.001891544	0.001758219	0.001877246	Halomyces	F
F178	0.000117068	0	0	0.000126291	0.000188727	0.000636032	0.000197596	0.000569729	0.001085929	0.000945772	0.005274257	0.00131407	Hannaella	F
F180	0.001404389	0.005825373	0.001270449	0.009973993	0.000660375	0.001653583	0.002172902	0.001708672	0.00130309	0.000945772	0.000219827	0.000750953	Helicoma	F
F181	0.010181816	0.01923728	0.011434058	0.010479005	0.00566011	0.012211083	0.016395522	0.027528607	0.062107762	0.026669188	0.033623394	0.053126064	Humicola	F
F183	0.000117068	0.000135515	0.000346591	0.000378758	0.00037734	0.000254474	0.000395192	0.008163655	0.004994679	0.000945828	0.023294636	0.009573953	Hyalorbilia	F
F189	0.058165076	0.165819937	0.081770853	0.168674105	0.125465763	0.126562795	0.241389493	0.101001513	0.215639896	0.444675616	0.206794849	0.223580011	Idriella	F
F193	0	0	0.002887389	0.000252582	9.43635E-05	0.00317997	0.000592608	0.00018991	0	0	0	0	Kabatiella	F
F195	0.042365709	0.071665643	0.094821851	0.059970211	0.099240591	0.111298941	0.060841214	0.029996691	0.086429688	0.081709856	0.049446165	0.066642238	Kazachstania	F
F197	0.711907745	0.78750922	0.572049484	0.719895028	0.277534046	0.550897958	0.127213447	0.032274919	0.055592966	0.02742576	0.038238371	0.041487135	Knufia	F
F202	0.001287356	0.000677409	0.000693042	0.000505012	0.000471704	0.000508948	0.000592787	0.000949375	0.002605918	0.000756628	0.001318565	0.004129999	Latorua	F
F208	0	0.000271029	0	0.000126291	0.000188727	0.000127237	0.000395192	0.009492624	0.000868639	0.001134972	0.020217987	0.000751124	Lepista	F
F218	0.019544471	0.017882542	0.022059649	0.006565162	0.050186306	0.026202951	0.00572856	0.001518879	0.002605918	0.003404576	0.001318561	0.001126404	Lipomyces	F
F219	0.000234135	0.000135515	0.000231061	0.000126291	0.000283005	0.000254474	0.000987682	0.000569556	0.000434451	0.001891432	0.001098934	0.001689521	Lophodermium	F
F222	0.009128523	0.001083789	0.018363795	0.002398811	0.002358377	0.00228958	0.005135948	0.006644837	0.005646162	0.006998296	0.004834734	0.009198506	Macrophomina	F
F223	0.000468129	0.000948318	0	0.000505012	0.000188727	0.001399185	0.001777827	0.001708672	0.001302961	0.00226972	0.001977846	0.033790429	Madurella	F
F224	0	0.000406544	0.000692974	0.000126291	0.000660347	0	0.000395192	0.00379705	0.000868901	0.001513204	0.004614977	0.000375562	Magnaporthiopsis	F
F230	0	0	0	0	0	0	0.000987741	0.003037641	0.00130309	0.002458864	0.009449715	0.000938679	Melanocarpus	F
F232	0.001404459	0.012057169	0.004042345	0.024619349	0.002830083	0.004451958	0.001382753	0.001328965	0.000868704	0.002080576	0.002856888	0.001689521	Metapochonia	F
F233	0.004564261	0.045654672	0.00646775	0.059465196	0.005471439	0.010684696	0.004938411	0.003417403	0.009989363	0.00359372	0.003516173	0.01501797	Metarhizium	F
F237	0.007256007	0.000677369	0.002656397	0.000252582	0.000188727	0.001653583	0.000790203	0.000379819	0.000434451	0	0	0.000187781	Microdochium	F
F243	0.000117068	0.000271029	0.00011553	0.000126291	0.000471676	0.000381595	0.000987682	0.002468081	0.001737278	0.002269776	0.002197673	0.007508985	Moesziomyces	F
F249	0	0	0	0	0	0.000254474	0.000987741	0.000759409	0.007600597	0.001134972	0.001098869	0.00732126	Monosporascus	F
F250	0.08391219	0.149563082	0.049663089	0.152008699	0.072355069	0.067796955	0.152695642	0.067967181	0.228886659	0.154340836	0.181742128	0.151681484	Mortierella	F
F253	0.065304048	0.000948398	0.0259865	0	0.010754209	0.002289618	0.002568035	0.003607196	0.004777518	0.00245892	0.00065948	0.001501911	Mycena	F
F257	0	0.000135515	0.000231061	0.000126291	0	0	0.000197596	0.003607196	0.002388761	0.00113486	0.000879107	0.000938623	Myrothecium	F
F266	0.077709476	0.126261587	0.104638972	0.170189143	0.075751136	0.127071592	0.03693931	0.013479523	0.028013644	0.028371476	0.020657505	0.029848215	Neophaeococcomyces	F
F267	0.035811896	0.013953802	0.010048115	0.029416968	0.071223046	0.03459807	0.007111312	0.004556459	0.009772197	0.018346888	0.010548514	0.016895216	Nigrospora	F
F268	0.005383489	0.007180111	0.008200186	0.014771609	0.02867789	0.012465482	0.005333485	0.005126015	0.003040373	0.00491772	0.002417369	0.003566767	No_blast_hit	F
F270	0.000234135	0.001083789	0.000346486	0.000378873	0.000188727	0.00089039	0.002172902	0.001518818	0.0021716	0.001891432	0.001098869	0.003754493	Ochroconis	F
F271	0.000234135	0.000406544	0.000577512	0.000631303	0	0.000890393	0.001777827	0.000569729	0.001520118	0.0005676	0.000439654	0.000563343	Oehlia	F
F272	0.00152142	0.000135515	0.000461982	0.00063134	0.000471676	0.000127237	0.000987799	0.00018991	0.000651676	0.0003784	0.000219827	0.003003595	Oidiodendron	F
F275	0.002223614	0.00040642	0.000346591	0.000252582	0	0.000127237	0.000790145	0.000379819	0.0021716	0.000567428	0	0.000375562	Ophiosphaerella	F
F280	0.000819227	0.001219264	0.000462016	0.000505164	0.005377104	0.000508795	0.000197596	0.000379819	0.000217225	0.000945772	0.000879307	0.000750953	Papiliotrema	F
F282	0.027151505	0.000541895	0.000461982	0.000126291	0.000188727	0	0.001185219	0.000569556	0.001737278	0	0.000219827	0.000187781	Paraconiothyrium	F
F285	0.000468164	0.000135515	0.000577478	0.000252582	0.000566011	0.00178082	0.004543336	0.002468081	0.001302961	0.00359372	0.003296476	0.003003595	Paradiplococcium	F
F287	0.000234135	0.000135515	0.000577478	0	0.009244846	0	0	0.000379819	0.000217225	0	0	0	Paraphaeosphaeria	F
F298	0.127682287	0.263767497	0.14864278	0.383051825	0.193387083	0.200210895	0.06815006	0.024111263	0.041694724	0.043692076	0.044391665	0.061385946	Penicillium	F
F299	0.001170324	0.002167582	0.000346591	0.000505012	0.000566011	0	0.000987741	0.002847844	0.002823079	0.00472858	0.001318696	0.004693116	Periconia	F
F301	0.020714725	0.002032107	0.012935502	0.0040401	0.011697559	0.025566957	0.006913775	0.000949262	0.001954504	0.001134916	0.000439654	0.000751124	Phaeoacremonium	F
F302	0.000351203	0.002303056	0.002540938	0.002398808	0.001320692	0.000508832	0	0.000949262	0.000868639	0.006430868	0.00065928	0.000750953	Phaeosphaeria	F
F307	0	0	0.000231061	0.000252582	0	0.000381595	0.002568093	0.001898525	0.000868639	0.006052696	0.004395215	0.00112646	Phlyctochytrium	F
F315	0	0	0.00011553	0	0.000283005	0.000254474	0.001580411	0.003417347	0.003474562	0.004917724	0.015163491	0.003942218	Plectosphaerella	F
F317	0.000819225	0.001083789	0.00011553	0.001136277	0.000188727	0.000254474	0.001382874	0.000759465	0.001302957	0.001702288	0.001758219	0.002252697	Pleurocatena	F
F320	0.001287356	0.000948318	0.000693008	0.000378758	9.43635E-05	0.000254474	0.004740873	0.007594099	0.009989363	0.003026288	0.004834738	0.006758087	Poaceascoma	F
F321	0.004798327	0.008263903	0.007391716	0.008837716	0.004056412	0.001399263	0.02311176	0.050690608	0.047775203	0.053716664	0.071422236	0.046555702	Podospora	F
F322	0.000117068	0.001083789	0.000346591	0.000126291	0.000188727	0.000381711	0.019753643	0.004746312	0.004560362	0.007565728	0.006153299	0.009386231	Polyschema	F
F324	0	0.001083789	0.000346486	0.00492387	0.006980802	0.000254474	0.000197596	0	0.000217225	0.000567428	0.000879042	0.000375562	Powellomyces	F
F325	0.002340647	0.000541935	0.001270486	0	0.004339418	0.000635994	0.000987682	0.003607196	0.001303025	0.005485152	0.001318561	0.002440423	Preussia	F
F328	0.011235104	0.031565395	0.053589937	0.011741536	0.02848922	0.070086532	3.08077785	2.633443587	3.144042699	2.47815396	1.640074354	1.423140252	Pseudaleuria	F
F332	0.000117068	0	0.000577546	0.000126291	0	0.000254474	0.000987682	0.001139112	0.001302961	0.001513204	0.001098869	0.000938734	Pseudocosmospora	F
F333	0.001638452	0.003657791	0.004042345	0.008711462	0.000471676	0.005087952	0.005926093	0.005505721	0.005863323	0.0083223	0.005494019	0.007508985	Pseudogymnoascus	F
F334	0.001287391	0.001761158	0.002078919	0.000378758	0.000188727	0.000508795	0.005926093	0.003417347	0.017155642	0.00245886	0.007032346	0.007884436	Pseudophialophora	F
F341	0.000234135	0.000135515	0.00011553	0.000252582	0.00037734	0.000381595	0.00158029	0.008733215	0.000651478	0.00605264	0.001977846	0.00450539	Pulvinula	F
F342	0	0.000271029	0.001154956	0.000252582	0.001037687	0.000254474	0.000987682	0.003227494	0.000651478	0.005106864	0.000879042	0.002628144	Pyrenochaeta	F
F347	0	0	0.000231061	0	0	0	0.001185215	0.000759409	0.008903558	0.0003784	0.000439654	0.000938623	Ramaria	F
F348	0.006319747	0.000677449	0.002309911	0.00694392	0.005188434	0.003943201	0.000197596	0.000759409	0.000217225	0.000945828	0.001318631	0	Ramichloridium	F
F350	0.023289438	0.006502782	0.001039494	0.004545112	0.000188727	0.000127237	0.000197596	0	0.000651676	0.0001892	0.000219827	0	Rasamsonia	F
F351	0.000117068	0	0.000231061	0	0	0.000127237	0.001975481	0.001898525	0.003908879	0.003215436	0.003516173	0.004693116	Remersonia	F
F353	0.000585162	0.001490253	0.001270452	0.000757516	9.43635E-05	0.000254474	0.000395192	0	0.000434451	0.0001892	0.00065948	0.000375562	Rhizophagus	F
F354	0.002340647	0.000677449	0.000924034	0.003030148	0.00075471	0.003307169	0.001975364	0.00018991	0.001085864	0.000945828	0.001098869	0.002252808	Rhizophlyctis	F
F356	0.001872516	0.000677449	0.00184793	0.000505049	0.007735485	0.00178082	0.005728614	0.001708672	0.003257401	0.00586344	0.005054496	0.00450539	Rhizopus	F
F358	0.000936258	0.000406544	0.000231061	0.001262568	0.00037734	0.000508795	0.000592608	0	0	0.0003784	0.001758154	0.000563172	Rhodotorula	F
F360	0	0.000135515	0.000231061	0.000126291	0	0.000636069	0.012444793	0.000759409	0.000651478	0.007565728	0.000439654	0.002252693	Rinaldiella	F
F362	0	0.00040642	0.00080847	0.000126291	0.000754681	0.001526387	0.004148266	0.004176813	0.002605922	0.004539436	0.003955692	0.006570358	Roussoella	F
F363	0.000702192	0.000271029	0.000693042	0.000883847	0.002452715	0.028365369	0.076249054	0.002468081	0.095333246	0.001134972	0.039996585	0.001689521	Saccharomyces	F
F364	0.000351203	0	0.00011553	0	0	0.004324759	0.013827609	0.00018991	0.017590028	0.0001892	0.010109126	0.000938679	Saccharomycopsis	F
F366	0.019778465	0.058118264	0.04596723	0.011236524	0.056129423	0.042102801	0.011259574	0.002657934	0.003908883	0.007944012	0.002417369	0.002252753	Saitozyma	F
F370	0	0	0.000231061	0	0.000188727	0.000254474	0.000395192	0.000569556	0.02301896	0.000567428	0.01692171	0.000750953	Savoryella	F
F372	0.002925809	0.002438528	0.0051973	0.002272554	0.004150775	0.001271988	0.009481747	0.008353621	0.012160963	0.0166446	0.010768276	0.030223662	Schizothecium	F
F373	0.000351203	0.000271029	0.000693042	0.00063134	9.43635E-05	0.000381595	0	0.000759638	0.000868639	0.000567428	0.001318561	0.001689521	Scolecobasidium	F
F374	0	0	0	0	0	0.000127237	0.001185278	0.002657934	0.00130309	0.00113486	0.001977846	0.003003595	Scopulariopsis	F
F376	0.000234135	0.000677369	0.000577478	0.000505012	0.000188727	0.000381595	0.000987682	0.004366606	0.000434451	0.003404576	0.001098934	0.002815869	Scutellospora	F
F377	0.000117068	0.000271029	0.000808468	0.000505164	9.43635E-05	0.001526384	0.000790383	0.001518879	0.001085864	0.003026404	0.004614977	0.003003595	Scytalidium	F
F382	0	0.000271029	0	0.000378758	0	0.000381595	0.000987741	0.005885424	0.006949123	0.000567428	0.011647318	0.009949404	Serenomyces	F
F383	0.030194344	0.04308075	0.000577478	0.016160394	0.000849016	0.015645452	0.003753191	0.000759409	0.001737347	0.000756572	0.001318631	0.00112646	Sidera	F
F386	0.002808776	0.000135515	0.011087572	0.00063134	0.028583554	0.007250333	0.001382753	0	0.000651676	0.002458864	0.000439654	0.000375562	Slooffia	F
F387	0.000351096	0.000271029	0.000461982	0.000757519	0.000471676	0.000508795	0.001777827	0.044045775	0.031271109	0.036126348	0.027909743	0.02684462	Smaragdiniseta	F
F388	0.000819227	0.001083832	0.000808504	0.001388822	0.002075373	0.004833556	0.093434725	0.039109609	0.111620244	0.111972764	0.085926447	0.198612637	Solicoccozyma	F
F390	0.005500556	0.003386845	0	0.008458955	0.000188727	0.000254474	0	0.00018991	0.000217225	0.0001892	0.000219827	0.000375562	Sparassis	F
F391	0.000234135	0.00040642	0.012358024	0.000378758	0.01188623	0.010175904	0.030025652	0.011960705	0.001737278	0.044826932	0.014284444	0.008635334	Sphaerobolus	F
F395	0.000585162	0	0	0.000126291	0	0.000381711	0.003160642	0.001139116	0.0021716	0.001513144	0.001098869	0.003566771	Spizellomyces	F
F396	0.000234135	0.009483167	0.006005768	0.007196424	0.003396067	0.002162381	0.008494065	0.008733215	0.004777587	0.016455456	0.006812584	0.009949404	Stachybotrys	F
F397	0	0.000271029	0	0.000126291	0	0.000127237	0.000790145	0.01385923	0	0.0001892	0.000219827	0	Stagonospora	F
F399	0.001872518	0.005554507	0.008546671	0.005050123	0.005188462	0.004579155	0.042075254	0.037590791	0.043432003	0.05106866	0.030986263	0.060447323	Staphylotrichum	F
F402	0.000351203	0.001625684	0.000808504	0.000757519	0.000754681	0.001271988	0.003753191	0.005126131	0.002605922	0.009646304	0.006592823	0.013891622	Stolonocarpus	F
F404	0.003159872	0.006502742	0.009470637	0.006943994	0.008773226	0.005851145	0.012839868	0.019554805	0.061456284	0.035180628	0.051643773	0.030786834	Striaticonidium	F
F408	0	0	0.00011553	0.000252582	0	0	0.002963046	0.000949375	0.00130309	0.002837148	0.002856888	0.000750953	Synnemellisia	F
F410	0.048568422	0.069498061	0.048970115	0.080044451	0.040752791	0.068560146	0.037136847	0.024680819	0.027796478	0.03442406	0.025052721	0.034916777	Talaromyces	F
F414	0	0.000948318	0.000231061	0.000757556	0	0.004579195	0.000790383	0	0	0	0.000219827	0.000563343	Tetraplosphaeria	F
F419	0.000117068	0	0	0	9.43635E-05	0.000127237	0.000197596	0.001708672	0.002171729	0.002080572	0.003955692	0.001126404	Thermomyces	F
F422	0.000234135	0.000135515	0.000346591	0.000505012	0.000283005	0.002035181	0.007111312	0.014618639	0.011075163	0.010592016	0.038458128	0.016332044	Tolypocladium	F
F424	0.004447229	0.006502742	0.004273337	0.002398808	0.004245083	0.003307169	0.007901453	0.00683469	0.010640841	0.008133156	0.007911388	0.010137129	Torula	F
F429	0.061090885	0.133035275	0.059480212	0.145569794	0.061695195	0.083696803	0.032000899	0.021833032	0.021281682	0.017022888	0.029887459	0.011638924	Trichoderma	F
