"","BF1","BF2","BF3","BF4","BF5","BF6","BF7","BF8","BF9","BF10","BF11","FF1","FF2","FF3","FF4","FF5","FF6","OP1","OP2","OP3","OP4","OP5","OP6","OP7","OP8","OP9","OP10","HN1","HN2","HN3","HN4","HN5","HN6","HN7","HN8","HN9","HN10","HN11","HN12","HN13"
"BF11",0.0761529659606186,0.0107081099203516,0.017797655806286,0.0110981195704958,0.0480124920180502,0.0191037458193373,0.267575665928552,0.0570451631246289,0.0997561994509619,0.0111762454613689,NA,0.0146417460736652,0.636011949864848,0.199075472611871,0.326760143195252,0.0485601152936788,0.0739383767445658,0.208985439922515,0.0255651095644083,0.149915032309139,0.511654098085076,0.789762160413227,0.541985292531403,0.185994576638912,0.0619529460169448,0.00382088492483734,0.00945255124379751,0.149915032309139,0.0480124920180502,0.788011888658888,0.135449958267465,0.00779651234674184,0.0501174921486511,0.0385455068120515,0.28935525059363,0.178338453882977,0.213272352578486,0.757990442215922,0.34522335498301,0.117736961819844
"FF1",0.022685763799563,0.005124081698753,0.0415214944103186,0.0217247350674117,0.0240031912007137,0.00675706454256231,0.1908358740045,0.121455142891161,0.0217247350674117,0.0222873932929497,0.0146417460736652,NA,0.234736690629199,0.0168314561868934,0.741178844273399,0.115503490900424,0.118040664183769,0.0788137607716561,0.0415214944103186,0.106252371759346,0.707927241461619,0.33028895903307,0.27556745095678,0.0936965143933497,0.0469935875256149,0.0609196253413622,0.00668381255219375,0.0102451939411279,0.00258621483336263,0.762121655996299,0.0260968910527031,0.0087350516299789,0.116927529277807,0.0214257216631375,0.235621003512646,0.141425387702911,0.271711019420242,0.973726480037516,0.102007795218838,0.491626634410748
"FF2",0.0502676484865838,0.383939601453497,0.269479388463033,0.811534113841195,0.111389816475383,0.511071741102255,0.0111699289259677,0.174316570048817,0.703774981402838,0.37402680737269,0.636011949864848,0.234736690629199,NA,0.0190194558338805,0.778697541276395,0.636011949864848,0.418560336298849,0.42169164406924,0.632487778851591,0.931114067419274,0.749131506976944,0.346832343228958,0.274671409685401,0.0249890264391897,0.177593845514809,0.658365359054973,0.0730192914825094,0.24928250596238,0.301482697461456,0.761715327826085,0.0441447742190633,0.120447130187946,0.934253769409975,0.230935647470947,0.312601676218412,0.887466994140346,0.475637567803448,0.237804502292455,0.89060841416409,0.817342451702836
"FF3",0.211642967220043,0.0708943175492232,0.0512655897864915,0.225326753392867,0.0139059688143628,0.267575665928552,0.100602631832255,0.0143389984337259,0.664075769442981,0.176293350136882,0.199075472611871,0.0168314561868934,0.0190194558338805,NA,0.757962190071627,0.497032715083049,0.449079893628542,0.0563493789302973,0.286122902914987,0.130948069507173,0.808864973954292,0.351261058349736,0.0708943175492232,0.221946782062446,0.159765804068651,0.469377770966427,0.045780489177083,0.0625114832796152,0.182563978573167,0.416774768899138,0.0139059688143628,0.0343892739141434,0.414750944005351,0.0302549487275088,0.484451661455399,0.127892541468739,0.0281165076167391,0.0371059472208219,0.63487376753605,0.871876520465178
"FF4",0.0864810273939556,0.212705541699813,0.0198991350471891,0.00848350671817633,0.170047749698329,0.0618530900971037,0.89514518784014,0.93830428107478,0.015127920464673,0.00879463304836348,0.326760143195252,0.741178844273399,0.778697541276395,0.757962190071627,NA,0.00382088492483734,0.0676366586254316,0.526329755314104,0.107813789478443,0.611136331652682,0.924306021239847,0.437510513775273,0.0884164306343136,0.192771207648708,0.0310886694513934,0.0225290395078055,0.237686782809598,0.0589373717738213,0.0305040108697829,0.217296490218251,0.150914722853939,0.078847070675109,0.00601999106349638,0.117672386294878,0.0330339699851745,0.0108387612567569,0.964344225553297,0.345275532620378,0.0235501757369547,0.828160323657887
"FF5",0.00339632301489745,0.000914801334335191,0.00856333307795731,0.000879476271606894,0.00259137900392559,0.00046781343482083,0.335809900998261,0.213906405041002,0.00214824597638241,0.000787557730744126,0.0485601152936788,0.115503490900424,0.636011949864848,0.497032715083049,0.00382088492483734,NA,0.00047687426616827,0.475354237153997,0.000914801334335191,0.0552856836520332,0.253212369161816,0.610681039240435,0.0328184415966937,0.0618530900971037,1.65110036025595e-05,0.00652390545222814,0.0398473814579661,0.00221510532230029,0.0095911016616097,0.348016950206137,0.0355340726385336,0.00289181952724293,0.000294246687348121,0.00073360331488459,0.0591963616643501,0.00887006070744434,0.459846820722482,0.403844796751424,0.0093442133694519,0.579885438771257
"FF6",0.00191836261730693,0.000462569507139632,0.0275846410585139,0.0272307363614295,0.00760774562980826,0.00015121522083561,0.0813932090901992,0.0261778016040195,0.016725361539047,0.000780466125283485,0.0739383767445658,0.118040664183769,0.418560336298849,0.449079893628542,0.0676366586254316,0.00047687426616827,NA,0.410340416991124,0.0574918287668378,0.0169890574526987,0.463828190547282,0.543936956332463,0.0122857447533631,0.104090403171538,0.000979857092564096,0.0411161809449712,0.0119986338471003,0.0152955854951271,0.0275846410585139,0.663487857577955,0.0329295532197529,0.0050411809194788,0.0362471474617281,0.00047687426616827,0.0389791413269753,0.0737160101343306,0.211425574700063,0.806282549611579,0.0804053539542413,0.425890088240883
"OP1",0.173338736633037,0.159765804068651,0.0920584027567526,0.160959986159421,0.44023265452102,0.135594499677206,0.0290927274117414,0.0582573725728013,0.199842670417755,0.0738103444256326,0.208985439922515,0.0788137607716561,0.42169164406924,0.0563493789302973,0.526329755314104,0.475354237153997,0.410340416991124,NA,0.92660701566943,0.499181447362397,0.906680244702752,0.000929520125467764,0.309020482665714,0.654393092571192,0.577165839939783,0.823579533628668,0.126650259670195,0.378205418447582,0.113004029460415,0.790806223042472,0.0143587241271945,0.0790576597892203,0.26540054420811,0.180803688907017,0.0604313169559827,0.103900435042505,0.66300662113438,0.25988234341976,0.201275074280378,0.60758249606388
"OP2",0.045739074410112,0.00344645026182744,0.0358059970520292,0.00120515436563218,0.00299286368018592,0.0302549487275088,0.729194990751066,0.387622850591306,0.0340673316633562,0.0233316334574338,0.0255651095644083,0.0415214944103186,0.632487778851591,0.286122902914987,0.107813789478443,0.000914801334335191,0.0574918287668378,0.92660701566943,NA,0.106252371759346,0.388684482385325,0.661008408217414,0.199335494617809,0.0371059472208219,0.00168271074538762,0.00626974786455636,0.0422829482453735,0.00161476898606994,0.0283196712957601,0.541935885731317,0.13765791634773,0.0278663047149368,0.000850227694782157,0.0132286641980361,0.378568669662303,0.064329278903676,0.321524957476802,0.448512777972926,0.0190123479526099,0.899191365046892
"OP3",0.216146759539985,0.00258621483336263,0.174519008130059,0.108442821951915,0.020185498509854,0.0146417460736652,0.512840943181826,0.0227090706649031,0.0971737747799288,0.0948763124839902,0.149915032309139,0.106252371759346,0.931114067419274,0.130948069507173,0.611136331652682,0.0552856836520332,0.0169890574526987,0.499181447362397,0.106252371759346,NA,0.683288954948474,0.642213871036288,0.0446092964633631,0.626924801946276,0.0524638754069335,0.277012434382463,0.155788242324284,0.0708943175492232,0.296904115688764,0.0666118822668891,0.124454791188834,0.0788137607716561,0.261284819110098,0.00259137900392559,0.296904115688764,0.0208058566785112,0.00890046505466646,0.834586391153786,0.256160236924061,0.817657321849891
